article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,
a000818,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/pnr8s/?view_only=75ef6bf7b5244202a504b9150061157f,yes,,https://osf.io/pnr8s/?view_only=75ef6bf7b5244202a504b9150061157f,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000834,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/anpbm/,yes,,https://osf.io/anpbm/,yes,,OSF,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: https://doi.org/10.1016/j.jesp.2019.103870.",
a000848,Michelle,2020-04-24,yes,,yes,,yes,,1,1,http://doi.org/10.3886/E109001V5,yes,,https://www.openicpsr.org/openicpsr/project/109001/version/V5/view,yes,,ICPSR,yes,,other,Login is required to download data,"Login seems to be required to access data, but there was a supplementary data link: at https://doi.org/10.1016/j.jesp.2019.103869",
a000851,Michelle,2020-04-24,yes,,no,"No explicit reference to Open Data, rather it says that 'materials are available at https://www.iris-database.org/iris/app/home/detail?id5york%3a936220&ref5search/. However, text mentions 'The online databases were ERIC, LLBA,
PsycINFO, ProQuest, Cambridge Core, Google, and Google Scholar.'",,,,,,,,,,,,,,,,,
a000865,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/h7k9p/?view_only=2b0f6b3dbce2430fb41b2b85b27daf75,yes,,https://osf.io/h7k9p/?view_only=2b0f6b3dbce2430fb41b2b85b27daf75,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000991,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/4rmnv/?view_only=fee3f4f700b54af3ab8ee45e299507d0,yes,,https://osf.io/4rmnv/?view_only=fee3f4f700b54af3ab8ee45e299507d0,yes,,OSF,yes,,yes,,"Technically there were 2 links, but one is simply the view only version of the other (both have the same content). There was a supplementary data link (but ignored because there was an open data link), supplementary data link: at https://doi.org/10.1016/j.jesp.2018.04.001",
a001005,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/x8bv9/DOI10.17605/OSF.IO/X8BV9,no,"Says page isnot found. However, the article also mentions to access data, one can contact the author Elisa Martin-Arevalo (emartina@ugr.es)",,,,,,,,,"Link given does not work, but article also mentions to contact author for data and materials",
a001100,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://madata.bib.uni-mannheim.de/266/,yes,,https://madata.bib.uni-mannheim.de/266/,yes,,MADATA,yes,,yes,,I didn't have any problems with this article,
a001135,Michelle,2020-04-24,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/26134,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,yes,,HAVARD DATAVERSE,yes,,other,"Most files were downloaded, however some could not be downloaded because access needs to be granted",Not all files downloaded,
a001170,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/mxf5w/,yes,,https://osf.io/mxf5w,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001196,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/rdfm3/,yes,,https://osf.io/rdfm3/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001306,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/ZSJA25,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSJA25,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001310,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/27gwb,yes,,https://osf.io/27gwb/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001316,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/9cmxw/,yes,,https://osf.io/9cmxw/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001319,Michelle,2020-04-24,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/3DK6JA,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3DK6JA,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001337,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/reky2,yes,,https://osf.io/reky2/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001374,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/9cndv,yes,,https://osf.io/9cndv/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001433,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/8bjcs/,yes,,https://osf.io/8bjcs,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001466,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/jpbnu/?view_only=2ba7656345b94dacaf1210e8185a5967,yes,,https://osf.io/jpbnu/?view_only=2ba7656345b94dacaf1210e8185a5967,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001495,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/5zimh/,yes,,https://osf.io/5zimh/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001529,Michelle,2020-04-24,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/B9SCDJ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/B9SCDJ,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001547,Michelle,2020-04-24,yes,,yes,,yes,,1,1,http://osf.io/s92i4/,yes,,https://osf.io/s92i4,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001582,Michelle,2020-04-24,yes,,yes,,yes,,1,1,osf.io/kcp9z,yes,,https://osf.io/kcp9z/,yes,,OSF,yes,,other,2/3 zip files successfully downloaded. One of the zip files exceeded 100MB,2/3 zip files downloaded as other was too big (greater than 100MB),
a001585,Michelle,2020-04-24,yes,,yes,,yes,,1,1,https://osf.io/3z8xa/,yes,,https://osf.io/3z8xa/,yes,,OSF,yes,,other,File size exceeds 100MB,File now downloaded as size > 100MB,
a001660,Michelle,2020-04-24,yes,,yes,,yes,,1,1,osf.io/nqas7,yes,,https://osf.io/nqas7/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000010,Michelle,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/6yhmp/,yes,,https://osf.io/6yhmp/,yes,,OSF,yes,,yes,,"Two data sets linked, but the second link seemed more directly relevant than the first (Fatfouta & Schroder-Abe, 2017)",
a000039,Michelle,2020-04-28,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/7EWDRF,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,yes,,HAVARD DATAVERSE,yes,,other,File size exceeds 100MB,File now downloaded as size > 100MB,
a000066,Michelle,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/dtgaa/,yes,,https://osf.io/dtgaa/,yes,,OSF,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: https://doi.org/10.1016/j.jrp.2018.04.001",
a000110,Michelle,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/4d2ve/,yes,,https://osf.io/4d2ve/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000112,Michelle,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/wcuhx/,yes,,https://osf.io/wcuhx/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000284,Michelle,2020-04-28,yes,,yes,,yes,,1,1,https://doi.org/10.5281/zenodo.2593735,yes,,https://zenodo.org/record/2593735#.XqeoS5Mzb-Y,yes,,ZENODO,yes,,yes,,I didn't have any problems with this article,
a000297,Michelle,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/gzyth/,yes,,https://osf.io/gzyth/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000324,Michelle,2020-04-28,yes,,yes,,yes,,1,1,osf.io/bmaf2,yes,,https://osf.io/bmaf2/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000356,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://doi.org/10.5283/epub.38033,yes,,https://epub.uni-regensburg.de/38033/,yes,,UNIVERSITY OF REGENSBURG PUBLICATION SERVER,yes,,yes,,I didn't have any problems with this article,
a000376,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://osf.io/r96hg/,yes,,https://osf.io/r96hg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000444,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://data.mendeley.com/datasets/f2wvbpsmyv/draft?a=e8c3968c-8b4a-47b5-a7d1-5aa120f1bc76,yes,,https://data.mendeley.com/datasets/f2wvbpsmyv/1,yes,,MENDELEY,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: online at https://doi.org/10.1016/j.jesp.2019.103877",
a000491,Michelle,2020-04-29,yes,,yes,,yes,,1,1,http://osf.io/pzvue,yes,,https://osf.io/pzvue/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000639,Michelle,2020-04-29,yes,,no,,yes,,1,1,https://osf.io/3r2q9/,yes,,https://osf.io/3r2q9/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000642,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://osf.io/5yau4/,yes,,https://osf.io/5yau4,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000657,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/GDFJ4N,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GDFJ4N,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000673,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/HI1X4O,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HI1X4O,yes,,HAVARD DATAVERSE,yes,,other,File size > 100MB,Did not download files as they were greater than 100MB,
a000788,Michelle,2020-04-29,yes,,yes,,yes,,1,1,osf.io/z4dxa,yes,,https://osf.io/z4dxa/,yes,,OSF,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: online at https://doi.org/10.1016/j.evolhumbehav.2018.03.008",
a000804,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://osf.io/9k3sw/,yes,,https://osf.io/9k3sw/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000812,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://osf.io/7vef5/,yes,,https://osf.io/7vef5/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000844,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://osf.io/3r96f/,yes,,https://osf.io/3r96f/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000915,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://osf.io/a9fmd/,yes,,https://osf.io/a9fmd/,yes,,OSF,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: online at https://doi.org/10.1016/j.jesp.2018.09.005",
a001035,Michelle,2020-04-29,no,,yes,,yes,,1,1,https://osf.io/g3dfy/,yes,,https://osf.io/g3dfy,yes,,OSF,yes,,yes,,No Open Data badge,
a001036,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://osf.io/zxp9k/,yes,,https://osf.io/zxp9k/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001130,Michelle,2020-04-29,yes,,no,,no,,0,,,,,,,,,,,,,No data availability statement or open data links ,
a001158,Michelle,2020-04-29,yes,,yes,,yes,,1,1,https://osf.io/75mau/,yes,,https://osf.io/75mau/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001245,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/OOIEAO,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OOIEAO,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001248,Michelle,2020-04-30,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/STXADQ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/STXADQ,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001274,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://psy.fsu.edu/~catlab/alienssoa_pub/index.php,yes,,https://psy.fsu.edu/~catlab/alienssoa_pub/index.php,yes,,FLORIDA STATE UNIVERSITY,yes,,partial,2/3 of the files on the data link could be downloaded. The other file directs to the homepage 'ALSOA_deid.zip',"1/3 of the files could not have been downloaded. There was a supplementary data link but ignored as there was a link to open data, supplementary data link: https://doi.org/10.1016/j.cortex.2019.05.011.",
a001285,Michelle,2020-04-30,yes,,yes,,yes,,3,1,https://osf.io/jxd47,yes,,https://osf.io/jxd47/,yes,,OSF,yes,,yes,,I didn't have any problems with this link,
,,,,,,,,,,2,https://www.iris-database.org,yes,,https://www.iris-database.org/iris/app/home/index;jsessionid=168DFE0BA9CC9F0FCF305D740E8B1B89,yes,,IRIS DATABASE,no,,,,"The link directs to the Irisdata base homepage, not to specific data pertaining to the article",
,,,,,,,,,,3,https://github.com/rnorouzian/i/blob/master/i.r,yes,,https://github.com/rnorouzian/i/blob/master/i.r,yes,,GITHUB,other,"Link directs to a page with coding. I believe this is the file but not 100% sure if so, and if it is, there doesn't seem to be a download button",,,Cannot see how to download the coding from the website,
a001297,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OE9BNP,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OE9BNP,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001301,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/RXXQSQ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RXXQSQ,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001309,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://osf.io/chm94/,yes,,https://osf.io/chm94/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001344,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://osf.io/9yxmh/,yes,,https://osf.io/9yxmh/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001348,Michelle,2020-04-30,yes,,yes,,yes,,1,1,osf.io/nr24b,yes,,https://osf.io/nr24b/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001379,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://osf.io/wkjp6/,yes,,https://osf.io/wkjp6/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001418,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://github.com/abrowman/psm-jesp2017,yes,,https://github.com/abrowman/psm-jesp2017,yes,,GITHUB,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: online at http://dx.doi.org/10.1016/j.jesp.2017.03.006",
a001429,Michelle,2020-04-30,yes,,yes,,yes,,1,1,http://www.tessexperiments.org/data/ferrer825.html,yes,,https://tessexperiments.org/data/ferrer825.html,other,"When you click on download data on the Tess website, it takes you to the OSF website",OSF,yes,,yes,,I didn't have any problems with this article,
a001472,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://osf.io/buqcm/,yes,,https://osf.io/buqcm/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001480,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://osf.io/qtb5u/,yes,,https://osf.io/qtb5u/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001604,Michelle,2020-04-30,yes,,yes,,yes,,1,1,https://data.mendeley.com/datasets/wynh7zs2rg/1,yes,,https://data.mendeley.com/datasets/wynh7zs2rg/1,yes,,MENDELEY,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: online at http://dx.doi.org/10.1016/j.jesp.2017.06.021",
a000043,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://osf.io/tmdvn/,yes,,https://osf.io/tmdvn/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000050,Michelle,2020-05-01,yes,,yes,,yes,,1,1,osf.io/2wjgn,yes,,https://osf.io/2wjgn/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000085,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://osf.io/zudxp/,yes,,https://osf.io/zudxp/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000292,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,,IRIS DATABASE,yes,,other,Need to fill in a form to download data,Did not download data as form is required to be filled out,
a000340,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://osf.io/7a9tt/,yes,,https://osf.io/7a9tt/,yes,,OSF,yes,,other,File size > 100 MB,Did not download files as they were greater than 100MB,
a000421,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://osf.io/b8c7z/,yes,,https://osf.io/b8c7z/,yes,,OSF,yes,,other,File size > 100 MB,"Did not download files as they were greater than 100MB, however, there was a supplementary data link (but ignored because there was an open data link), supplementary data link: online at http://dx.doi.org/10.1016/j.jesp.2017.06.021",
a000448,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://osf.io/m573q,yes,,https://osf.io/m573q/,yes,,OSF,yes,,other,File size > 100 MB,Did not download files as they were greater than 100MB,
a000495,Michelle,2020-05-01,yes,,yes,,yes,,2,1,https://openfmri.org/dataset/ds000223/,yes,,https://openneuro.org/datasets/ds000223/versions/00001/download,yes,,OPEN NEURO,yes,,other,"Everytime I try to download, it says it cannot because the location chosen has 'system files'",Download not successful,
,,,,,,,,,,2,https://github.com/iancballard/magnitude,yes,,https://github.com/iancballard/magnitude,yes,,GITHUB,yes,,yes,,I didn't have any problems with this link,
a000541,Michelle,2020-05-01,yes,,yes,,yes,,1,1,osf.io/zqg9y,yes,,https://osf.io/zqg9y/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000569,Michelle,2020-05-01,yes,,yes,,yes,,1,1,osf.io/vh5jt,yes,,https://osf.io/vh5jt,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000592,Michelle,2020-05-01,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/24885,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/24885,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000614,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://osf.io/bktjs/,yes,,https://osf.io/bktjs/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000660,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://osf.io/t86zx/,yes,,https://osf.io/t86zx,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000675,Michelle,2020-05-01,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/W1TDGZ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W1TDGZ,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000729,Michelle,2020-05-01,yes,,yes,,yes,,1,1,https://osf.io/yvtp2/,yes,,https://osf.io/yvtp2/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000780,Michelle,2020-05-01,yes,,yes,,yes,,1,1,osf.io/zc47d,yes,,https://osf.io/zc47d/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000808,Michelle,2020-05-04,yes,,other,"Does not explicitly have a statement saying data is available, but there is the text 'Open Data' with a hyperlink",yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000810,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/bqzpt/,yes,,https://osf.io/bqzpt/,yes,,OSF,yes,,other,3/4 of the zip files could be downloaded. One of them (data zip file) > 100 MB,Data zip file could not be downloaded,
a000886,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://doi.org/10.5281/zenodo.2591593,yes,,https://zenodo.org/record/2591594#.Xq_3NpMzb-Y,yes,,ZENODO,yes,,yes,,I didn't have any problems with this article,
a000887,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/3xgtk/,yes,,https://osf.io/3xgtk,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000923,Michelle,2020-05-04,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/MYDZNF,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MYDZNF,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000954,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/2VF2J0,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2VF2J0,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000957,Michelle,2020-05-04,yes,,yes,,yes,,1,1,osf.io/3wz2j,yes,,https://osf.io/3wz2j/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000983,Michelle,2020-05-04,yes,,other,"Does not explicitly have a statement saying data is available, but rather 'All measures in the study are available at (link)'",yes,,1,1,https://osf.io/5kpbj/,yes,,https://osf.io/5kpbj/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000984,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/b247s/,yes,,https://osf.io/b247s/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001025,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/h2xry/,yes,,https://osf.io/h2xry/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001039,Michelle,2020-05-04,yes,,other,"Does not explicitly have a statement saying data is available, but there is the text 'Open Data' with a hyperlink",yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RYVAL1,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RYVAL1,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001051,Michelle,2020-05-04,yes,,no,,no,,,,,,,,,,,,,,,No explit statement or link to open data. Supplementary data link however: at https://doi.org/10.1016/j.jesp.2019.03.007,
a001103,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/qenhu/?view_only=a214ad4886e64dcf8a57048fbde1dfbb,yes,,https://osf.io/qenhu/?view_only=a214ad4886e64dcf8a57048fbde1dfbb,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001176,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataverse/AgreementIndiff,yes,,https://dataverse.harvard.edu/dataverse/AgreementIndiff,yes,,HAVARD DATAVERSE,yes,,other,Need to fill in a form to download the data,"The link also refers to 6 items, in which data can be downloaded for the separate 6 items. Data not downloaded as a form must be filled out. ",
a001194,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/zucn5,yes,,https://osf.io/zucn5/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001313,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/uqh5d/,yes,,https://osf.io/uqh5d/,yes,,OSF,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: online at https://doi.org/10.1016/j.jesp.2018.01.006",
a001321,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/dmbkw/,yes,,https://osf.io/dmbkw,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001333,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/mtsvy/,yes,,https://osf.io/mtsvy/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001354,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/nvq6t/,yes,,https://osf.io/nvq6t/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001391,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/2nj9h/,yes,,https://osf.io/2nj9h/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001468,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/nav9h/,yes,,https://osf.io/nav9h/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001514,Michelle,2020-05-04,yes,,yes,,yes,,2,1,https://osf.io/j479p/,yes,,https://osf.io/j479p/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
,,,,,,,,,,2,https://osf.io/4UBJ8/,yes,,https://osf.io/4UBJ8/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001531,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/3hm4g/,yes,,https://osf.io/3hm4g/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001576,Michelle,2020-05-04,yes,,yes,,yes,,1,1,https://osf.io/vq4ak/,yes,,https://osf.io/vq4ak,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000023,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://osf.io/jbq9v,yes,,https://osf.io/jbq9v/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000075,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://osf.io/p8f7w/,yes,,https://osf.io/p8f7w/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000115,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://osf.io/m35b8/,yes,,https://osf.io/m35b8/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000178,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://osf.io/ydpbf/,yes,,https://osf.io/ydpbf,yes,,OSF,yes,,other,1 of the zip files could not be downloaded (Mock session videos) as > 100MB,One of the zip files not downloaded as file size was too big,
a000242,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://osf.io/adrwv/,yes,,https://osf.io/adrwv/,yes,,OSF,yes,,other,3/4 of the zip files could not be downloaded as they exceeded 100MB,Not all files download as size was too big. There was a supplementary data link (ignored as there was a link to open data): at https://doi.org/10.1016/j.cortex.2019.05.012,
a000272,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://osf.io/p6jfq/,yes,,https://osf.io/p6jfq,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000296,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://doi.org/10.6084/m9.figshare.7271480.v1,yes,,https://figshare.com/articles/The_Co-occurrence_of_Pitch_and_Rhythm_Disorders_in_Congenital_Amusia/7271480/1,yes,,FIGSHARE,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: https://doi.org/10.1016/j.cortex.2018.11.036",
a000314,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://osf.io/xvmr7/,yes,,https://osf.io/xvmr7/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000323,Michelle,2020-05-05,yes,,yes,,yes,,1,1,https://osf.io/we7aj/,yes,,https://osf.io/we7aj,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
